received_utc,source_ip,raw_message
2025-12-14T17:46:25.494847,10.135.95.5,TEST_FROM_LAPTOP
2025-12-14T18:42:59.523519,192.168.43.169,"HB,1,10000"
2025-12-14T18:43:09.125258,192.168.43.169,"HB,2,20000"
2025-12-14T18:43:19.147017,192.168.43.169,"HB,3,30000"
2025-12-14T18:43:29.413782,192.168.43.169,"HB,4,40000"
2025-12-14T18:43:39.230123,192.168.43.169,"HB,5,50000"
2025-12-14T18:43:49.266182,192.168.43.169,"HB,6,60000"
2025-12-14T18:43:59.189906,192.168.43.169,"HB,7,70000"
2025-12-14T18:44:09.234205,192.168.43.169,"HB,8,80000"
2025-12-14T18:44:19.267976,192.168.43.169,"HB,9,90000"
2025-12-14T18:44:29.307157,192.168.43.169,"HB,10,100000"
2025-12-14T18:44:39.226875,192.168.43.169,"HB,11,110000"
2025-12-14T18:44:49.475462,192.168.43.169,"HB,12,120000"
2025-12-14T18:44:59.305793,192.168.43.169,"HB,13,130000"
2025-12-14T18:45:09.444228,192.168.43.169,"HB,14,140000"
2025-12-14T18:45:19.275627,192.168.43.169,"HB,15,150000"
2025-12-14T18:45:29.308436,192.168.43.169,"HB,16,160000"
2025-12-14T18:49:09.657613,192.168.43.169,"HB,38,380000"
2025-12-14T18:49:19.706096,192.168.43.169,"HB,39,390000"
2025-12-14T18:49:29.739882,192.168.43.169,"HB,40,400000"
2025-12-14T18:49:39.737030,192.168.43.169,"HB,41,410000"
2025-12-14T18:49:49.711586,192.168.43.169,"HB,42,420000"
2025-12-14T18:49:59.744054,192.168.43.169,"HB,43,430000"
2025-12-14T18:50:09.780779,192.168.43.169,"HB,44,440000"
2025-12-14T18:50:19.812469,192.168.43.169,"HB,45,450000"
2025-12-14T18:50:29.847632,192.168.43.169,"HB,46,460000"
2025-12-14T18:50:39.780862,192.168.43.169,"HB,47,470000"
2025-12-14T18:50:50.021745,192.168.43.169,"HB,48,480000"
2025-12-14T18:51:00.056439,192.168.43.169,"HB,49,490000"
2025-12-14T18:51:09.885426,192.168.43.169,"HB,50,500000"
2025-12-14T18:51:20.126064,192.168.43.169,"HB,51,510000"
2025-12-14T18:51:30.018039,192.168.43.169,"HB,52,520000"
2025-12-14T18:51:39.888144,192.168.43.169,"HB,53,530000"
2025-12-14T18:51:50.129190,192.168.43.169,"HB,54,540000"
2025-12-14T18:51:59.893076,192.168.43.169,"HB,55,550000"
2025-12-14T18:52:09.909326,192.168.43.169,"HB,56,560000"
2025-12-14T18:52:20.028089,192.168.43.169,"HB,57,570000"
2025-12-14T18:52:29.962197,192.168.43.169,"HB,58,580000"
2025-12-14T18:52:40.209619,192.168.43.169,"HB,59,590000"
2025-12-14T18:52:50.031783,192.168.43.169,"HB,60,600000"
2025-12-14T18:53:00.168559,192.168.43.169,"HB,61,610000"
2025-12-14T18:53:10.102345,192.168.43.169,"HB,62,620000"
2025-12-14T18:53:20.138502,192.168.43.169,"HB,63,630000"
2025-12-14T18:53:30.069993,192.168.43.169,"HB,64,640000"
2025-12-14T18:53:40.072421,192.168.43.169,"HB,65,650000"
2025-12-14T19:07:41.645474+00:00,192.168.43.169,"HB,149,1490000"
2025-12-14T19:08:05.473081+00:00,192.168.43.169,"HB,1,10000"
2025-12-14T19:08:15.437815+00:00,192.168.43.169,"HB,2,20000"
2025-12-14T19:08:25.338178+00:00,192.168.43.169,"HB,3,30000"
2025-12-14T19:08:35.355740+00:00,192.168.43.169,"HB,4,40000"
2025-12-14T19:08:45.510933+00:00,192.168.43.169,"HB,5,50000"
2025-12-14T19:08:55.310921+00:00,192.168.43.169,"HB,6,60000"
2025-12-14T19:09:05.581323+00:00,192.168.43.169,"HB,7,70000"
2025-12-14T19:09:15.411071+00:00,192.168.43.169,"HB,8,80000"
2025-12-14T19:09:25.446738+00:00,192.168.43.169,"HB,9,90000"
2025-12-14T19:09:35.584011+00:00,192.168.43.169,"HB,10,100000"
2025-12-14T19:09:45.419734+00:00,192.168.43.169,"HB,11,110000"
2025-12-14T19:09:55.456052+00:00,192.168.43.169,"HB,12,120000"
2025-12-14T19:10:05.586919+00:00,192.168.43.169,"HB,13,130000"
2025-12-14T19:10:15.620670+00:00,192.168.43.169,"HB,14,140000"
2025-12-14T19:10:25.656888+00:00,192.168.43.169,"HB,15,150000"
2025-12-14T19:10:45.931793+00:00,192.168.43.169,"HB,17,170000"
2025-12-14T19:10:55.640946+00:00,192.168.43.169,"HB,18,180000"
2025-12-14T19:11:05.694145+00:00,192.168.43.169,"HB,19,190000"
2025-12-14T19:11:15.602025+00:00,192.168.43.169,"HB,20,200000"
2025-12-14T19:11:25.548876+00:00,192.168.43.169,"HB,21,210000"
2025-12-14T19:11:35.799057+00:00,192.168.43.169,"HB,22,220000"
2025-12-14T19:11:46.045460+00:00,192.168.43.169,"HB,23,230000"
2025-12-14T19:11:55.740356+00:00,192.168.43.169,"HB,24,240000"
2025-12-14T19:12:05.699743+00:00,192.168.43.169,"HB,25,250000"
2025-12-14T19:12:15.638115+00:00,192.168.43.169,"HB,26,260000"
2025-12-14T19:12:25.667896+00:00,192.168.43.169,"HB,27,270000"
2025-12-14T19:12:35.687154+00:00,192.168.43.169,"HB,28,280000"
20251214T193125Z_22b4a6b1,2025-12-14T19:32:37.787990+00:00,192.168.43.169,"HB,148,1480000"
20251214T193125Z_22b4a6b1,2025-12-14T19:32:47.586866+00:00,192.168.43.169,"HB,149,1490000"
20251214T193125Z_22b4a6b1,2025-12-14T19:32:57.609364+00:00,192.168.43.169,"HB,150,1500000"
20251214T193125Z_22b4a6b1,2025-12-14T19:33:07.656879+00:00,192.168.43.169,"HB,151,1510000"
20251214T193125Z_22b4a6b1,2025-12-14T19:33:17.609521+00:00,192.168.43.169,"HB,152,1520000"
20251214T193125Z_22b4a6b1,2025-12-14T19:33:27.631948+00:00,192.168.43.169,"HB,153,1530000"
20251214T193125Z_22b4a6b1,2025-12-14T19:33:37.659964+00:00,192.168.43.169,"HB,154,1540000"
20251214T193125Z_22b4a6b1,2025-12-14T19:33:59.683418+00:00,192.168.43.169,"HB,1,10000"
20251214T193125Z_22b4a6b1,2025-12-14T19:34:09.608002+00:00,192.168.43.169,"HB,2,20000"
20251214T193125Z_22b4a6b1,2025-12-14T19:34:19.439466+00:00,192.168.43.169,"HB,3,30000"
20251214T193125Z_22b4a6b1,2025-12-14T19:34:29.373152+00:00,192.168.43.169,"HB,4,40000"
20251214T193125Z_22b4a6b1,2025-12-14T19:34:39.405743+00:00,192.168.43.169,"HB,5,50000"
20251214T193125Z_22b4a6b1,2025-12-14T19:34:49.645241+00:00,192.168.43.169,"HB,6,60000"
20251214T193125Z_22b4a6b1,2025-12-14T19:34:59.408135+00:00,192.168.43.169,"HB,7,70000"
20251214T193125Z_22b4a6b1,2025-12-14T19:35:09.510768+00:00,192.168.43.169,"HB,8,80000"
20251214T193125Z_22b4a6b1,2025-12-14T19:35:19.546232+00:00,192.168.43.169,"HB,9,90000"
20251214T193125Z_22b4a6b1,2025-12-14T19:35:29.582483+00:00,192.168.43.169,"HB,10,100000"
20251214T193125Z_22b4a6b1,2025-12-14T19:35:39.515468+00:00,192.168.43.169,"HB,11,110000"
20251214T193125Z_22b4a6b1,2025-12-14T19:35:49.513051+00:00,192.168.43.169,"HB,12,120000"
20251214T193125Z_22b4a6b1,2025-12-14T19:35:59.583534+00:00,192.168.43.169,"HB,13,130000"
20251214T193125Z_22b4a6b1,2025-12-14T19:36:09.721146+00:00,192.168.43.169,"HB,14,140000"
20251214T193125Z_22b4a6b1,2025-12-14T19:36:19.756025+00:00,192.168.43.169,"HB,15,150000"
20251214T193125Z_22b4a6b1,2025-12-14T19:36:29.586340+00:00,192.168.43.169,"HB,16,160000"
20251214T193125Z_22b4a6b1,2025-12-14T19:36:39.928785+00:00,192.168.43.169,"HB,17,170000"
20251214T193125Z_22b4a6b1,2025-12-14T19:36:49.861293+00:00,192.168.43.169,"HB,18,180000"
20251214T193125Z_22b4a6b1,2025-12-14T19:36:59.608506+00:00,192.168.43.169,"HB,19,190000"
20251214T193125Z_22b4a6b1,2025-12-14T19:37:09.770230+00:00,192.168.43.169,"HB,20,200000"
20251214T193125Z_22b4a6b1,2025-12-14T19:37:19.659206+00:00,192.168.43.169,"HB,21,210000"
20251214T193125Z_22b4a6b1,2025-12-14T19:37:29.655529+00:00,192.168.43.169,"HB,22,220000"
20251214T193125Z_22b4a6b1,2025-12-14T19:37:39.833024+00:00,192.168.43.169,"HB,23,230000"
20251214T193125Z_22b4a6b1,2025-12-14T19:37:49.764907+00:00,192.168.43.169,"HB,24,240000"
20251214T193125Z_22b4a6b1,2025-12-14T19:37:59.901828+00:00,192.168.43.169,"HB,25,250000"
20251214T193125Z_22b4a6b1,2025-12-14T19:38:09.731860+00:00,192.168.43.169,"HB,26,260000"
20251214T193125Z_22b4a6b1,2025-12-14T19:38:19.766910+00:00,192.168.43.169,"HB,27,270000"
20251214T193125Z_22b4a6b1,2025-12-14T19:38:29.802042+00:00,192.168.43.169,"HB,28,280000"
20251214T193125Z_22b4a6b1,2025-12-14T19:38:39.773731+00:00,192.168.43.169,"HB,29,290000"
20251214T193125Z_22b4a6b1,2025-12-14T19:38:49.872188+00:00,192.168.43.169,"HB,30,300000"
20251214T193125Z_22b4a6b1,2025-12-14T19:39:00.010238+00:00,192.168.43.169,"HB,31,310000"
20251214T193125Z_22b4a6b1,2025-12-14T19:39:10.045366+00:00,192.168.43.169,"HB,32,320000"
20251214T193125Z_22b4a6b1,2025-12-14T19:39:19.840222+00:00,192.168.43.169,"HB,33,330000"
20251214T193125Z_22b4a6b1,2025-12-14T19:39:29.912202+00:00,192.168.43.169,"HB,34,340000"
20251214T193125Z_22b4a6b1,2025-12-14T19:39:40.039972+00:00,192.168.43.169,"HB,35,350000"
20251214T193125Z_22b4a6b1,2025-12-14T19:39:49.980668+00:00,192.168.43.169,"HB,36,360000"
20251214T193125Z_22b4a6b1,2025-12-14T19:40:00.322279+00:00,192.168.43.169,"HB,37,370000"
20251214T193125Z_22b4a6b1,2025-12-14T19:40:10.030681+00:00,192.168.43.169,"HB,38,380000"
20251214T193125Z_22b4a6b1,2025-12-14T19:40:19.934889+00:00,192.168.43.169,"HB,39,390000"
20251214T193125Z_22b4a6b1,2025-12-14T19:40:30.017788+00:00,192.168.43.169,"HB,40,400000"
20251214T193125Z_22b4a6b1,2025-12-14T19:40:40.052960+00:00,192.168.43.169,"HB,41,410000"
20251214T193125Z_22b4a6b1,2025-12-14T19:40:50.095638+00:00,192.168.43.169,"HB,42,420000"
20251214T193125Z_22b4a6b1,2025-12-14T19:41:00.225930+00:00,192.168.43.169,"HB,43,430000"
20251214T193125Z_22b4a6b1,2025-12-14T19:41:10.022289+00:00,192.168.43.169,"HB,44,440000"
20251214T193125Z_22b4a6b1,2025-12-14T19:41:20.194105+00:00,192.168.43.169,"HB,45,450000"
20251214T193125Z_22b4a6b1,2025-12-14T19:41:30.130241+00:00,192.168.43.169,"HB,46,460000"
20251214T193125Z_22b4a6b1,2025-12-14T19:41:40.069564+00:00,192.168.43.169,"HB,47,470000"
20251214T193125Z_22b4a6b1,2025-12-14T19:41:50.195983+00:00,192.168.43.169,"HB,48,480000"
20251214T193125Z_22b4a6b1,2025-12-14T19:42:00.105428+00:00,192.168.43.169,"HB,49,490000"
20251214T193125Z_22b4a6b1,2025-12-14T19:42:10.164005+00:00,192.168.43.169,"HB,50,500000"
20251214T193125Z_22b4a6b1,2025-12-14T19:42:20.300368+00:00,192.168.43.169,"HB,51,510000"
20251214T193125Z_22b4a6b1,2025-12-14T19:42:30.147877+00:00,192.168.43.169,"HB,52,520000"
20251214T193125Z_22b4a6b1,2025-12-14T19:42:40.371579+00:00,192.168.43.169,"HB,53,530000"
20251214T193125Z_22b4a6b1,2025-12-14T19:54:04.422003+00:00,192.168.43.169,"HB,121,1210000"
20251214T193125Z_22b4a6b1,2025-12-14T19:54:11.252633+00:00,192.168.43.169,"HB,122,1220000"
20251214T193125Z_22b4a6b1,2025-12-14T19:54:21.288780+00:00,192.168.43.169,"HB,123,1230000"
20251214T193125Z_22b4a6b1,2025-12-14T19:54:31.325272+00:00,192.168.43.169,"HB,124,1240000"
20251214T193125Z_22b4a6b1,2025-12-14T19:54:41.254699+00:00,192.168.43.169,"HB,125,1250000"
20251214T193125Z_22b4a6b1,2025-12-14T19:54:51.596990+00:00,192.168.43.169,"HB,126,1260000"
20251214T193125Z_22b4a6b1,2025-12-14T19:56:31.435751+00:00,192.168.43.169,"HB,136,1360000"
20251214T193125Z_22b4a6b1,2025-12-14T19:56:41.445175+00:00,192.168.43.169,"HB,137,1370000"
20251214T193125Z_22b4a6b1,2025-12-14T19:56:51.507540+00:00,192.168.43.169,"HB,138,1380000"
20251214T193125Z_22b4a6b1,2025-12-14T19:57:01.542719+00:00,192.168.43.169,"HB,139,1390000"
20251214T193125Z_22b4a6b1,2025-12-14T19:57:11.473888+00:00,192.168.43.169,"HB,140,1400000"
20251214T193125Z_22b4a6b1,2025-12-14T19:57:21.508202+00:00,192.168.43.169,"HB,141,1410000"
20251214T193125Z_22b4a6b1,2025-12-14T19:57:31.495953+00:00,192.168.43.169,"HB,142,1420000"
20251214T193125Z_22b4a6b1,2025-12-14T19:57:41.607633+00:00,192.168.43.169,"HB,143,1430000"
20251214T193125Z_22b4a6b1,2025-12-14T19:57:51.613577+00:00,192.168.43.169,"HB,144,1440000"
20251214T193125Z_22b4a6b1,2025-12-14T19:58:01.648494+00:00,192.168.43.169,"HB,145,1450000"
20251214T193125Z_22b4a6b1,2025-12-14T19:58:11.565086+00:00,192.168.43.169,"HB,146,1460000"
20251214T193125Z_22b4a6b1,2025-12-14T19:58:21.719662+00:00,192.168.43.169,"HB,147,1470000"
20251214T193125Z_22b4a6b1,2025-12-14T19:58:31.651723+00:00,192.168.43.169,"HB,148,1480000"
20251214T193125Z_22b4a6b1,2025-12-14T19:58:41.788624+00:00,192.168.43.169,"HB,149,1490000"
20251214T193125Z_22b4a6b1,2025-12-14T19:58:51.734691+00:00,192.168.43.169,"HB,150,1500000"
20251214T193125Z_22b4a6b1,2025-12-14T19:59:01.626614+00:00,192.168.43.169,"HB,151,1510000"
20251214T193125Z_22b4a6b1,2025-12-14T19:59:11.689406+00:00,192.168.43.169,"HB,152,1520000"
20251214T193125Z_22b4a6b1,2025-12-14T19:59:21.726553+00:00,192.168.43.169,"HB,153,1530000"
20251214T193125Z_22b4a6b1,2025-12-14T19:59:31.687605+00:00,192.168.43.169,"HB,154,1540000"
